austere	꾸밈없는, 간소한; 금욕적인 (0/−) — prose disappointingly austere, lacking the ornament
florid	화려한, 미사여구가 지나친 (−) — austere의 반대
turgid	(문체가) 과장되고 부풀린 (−)
opaque	불투명한; 난해한 (−) — 어려운 것이지 화려한 게 아님
mellifluous	감미롭게 흐르는 (소리·문체) (+)
incendiary	선동적인, 불붙이는 (−) — Far from being incendiary, the remarks offended no one
innocuous	무해한, 별것 아닌 (0)
equivocal	애매모호한, 두 갈래로 읽히는 (−)
laconic	말수가 적은, 간결한 (0)
prosaic	평범하고 지루한, 산문적인 (−)
hagiographic	성인전처럼 미화하는 (−) — 전기가 대상을 과도하게 찬양할 때
censorious	몹시 비난하는, 흠잡는 (−)
evenhanded	공평한, 어느 쪽에도 치우치지 않는 (+) — neither excuses nor dwells on it
tendentious	편향된, 특정 주장을 밀어붙이는 (−)
perfunctory	형식적인, 성의 없는 (−)
provisional	잠정적인, 임시의 (0) — no other lab has replicated, so findings remain provisional
canonical	정전(正典)의, 표준으로 인정된 (+)
ubiquitous	어디에나 있는 (0)
germane	(논의에) 밀접히 관련된 (+)
inviolable	침범할 수 없는, 신성불가침의 (+)
incremental	점진적인, 조금씩의 (0) — each too small to alter the system
sundry	잡다한, 여러 종류의 (0) — 크기가 아니라 종류 얘기
salutary	유익한, 이로운 (+)
trenchant	날카롭고 통렬한 (+/−)
precipitous	급격한; 성급한 (−)
alacrity	민첩함, 기꺼이 하는 태도 (+) — the alacrity with which she dispatched tasks
diffidence	자신 없음, 소심함 (−)
rancor	원한, 악감정 (−)
impasse	교착 상태 (−) — neither side conceded anything
overture	(관계를 트려는) 제안; 서곡 (0)
armistice	휴전 (0) — 일종의 합의라 impasse의 반대
indictment	기소; 강한 비판 (−)
definitive	결정적인, 최종적인 (+) — the field treated his monograph as definitive
untenable	(주장이) 옹호할 수 없는, 성립 불가한 (−)
inconsequential	하찮은, 중요하지 않은 (−)
corroborate	뒷받침하다, 입증하다 (+)
flippant	경솔한, 까부는 (−)
crystallize	선명하게 만들다, 구체화하다 (+)
foreclose	(가능성을) 미리 차단하다 (−)
contingent	상황에 따라 달라지는, 조건부의 (0) — the relationship is far more contingent
prurient	호색적인, 음란한 흥미의 (−)
interminable	끝없이 길게 느껴지는 (−)
monograph	(단일 주제) 연구 논문·단행본 (0)
attribution	(작품의) 작가 귀속, 출처 표시 (0)
prose	[기본] 산문 (운문verse의 반대); 문체 (0)
ornament	[기본] 장식, 꾸밈 (0) — lacking the ornament they had expected
senator	[기본] 상원의원 (0)
biographer	[기본] 전기 작가 (0)
excuse (v)	[기본] 변명해주다, 봐주다 (0) — she neither excuses his cruelty nor...
dwell on	[기본] ~을 곱씹다, 계속 붙들고 늘어지다 (0)
envision	[기본] (미래를) 마음에 그리다, 구상하다 (0)
dispatch (v)	[기본] 신속히 처리하다; 파견하다 (0) — the alacrity with which she dispatched tasks
tedium	[기본] 지루함, 따분함 (−)
treaty	[기본] 조약 (0)
accord	[기본] 합의, 협정 (0) — less an agreement than an impasse에서 오답 선택지
archival	[기본] 기록보관소의, 사료(史料)의 (0) — recent archival work
outset	[기본] 처음, 시작 (0) — from the outset = 애초부터
proportional to	[기본] ~에 비례하는 (0)
disturbance	[기본] 교란, 방해 (0) — capacity to absorb disturbance
forgery	[기본] 위조품, 위조 (−) — hang the forgeries beside the originals
condemn	[기본] 비난하다, 규탄하다 (−)
obscure (v)	흐리게 하다, 가리다 (−) / (adj) 무명의, 모호한 — crystallize의 반대
prudent	신중한, 분별 있는 (+)
meticulous	꼼꼼한, 세심한 (+)
